FrameNumber,CocaineLeverPress,SucrosePump,SucroseLeverCue,SucroseLeverPress,CocaineLeverCue,CocainePump,Licks,TrueSucrosePresses,FalseSucrosePresses,TrueCocainePresses,FalseCocainePresses,DeliberatePress,non_deliberatePress,timeData,Trial,trialClass
2117,0,0,0,0,0,0,0,0,0,0,0,0,0,141.733337796673,3,0
2118,0,0,0,0,0,0,0,0,0,0,0,0,0,141.800287885381,3,0
2119,0,0,0,0,0,0,0,0,0,0,0,0,0,141.86723797409,3,0
2120,0,0,0,0,0,0,1,0,0,0,0,0,0,141.934188062799,3,0
2121,0,0,0,0,0,0,0,0,0,0,0,0,0,142.001138151508,3,0
2122,0,0,0,0,0,0,0,0,0,0,0,0,0,142.068088240217,3,0
2123,0,0,0,0,0,0,0,0,0,0,0,0,0,142.135038328926,3,0
2124,0,0,0,0,0,0,1,0,0,0,0,0,0,142.201988417635,3,0
2125,0,0,0,0,0,0,1,0,0,0,0,0,0,142.268938506344,3,0
2126,0,0,0,0,0,0,0,0,0,0,0,0,0,142.335888595052,3,0
2127,0,0,0,0,0,0,0,0,0,0,0,0,0,142.402838683761,3,0
2128,0,0,0,0,0,0,0,0,0,0,0,0,0,142.46978877247,3,0
2129,0,0,0,1,0,0,0,1,0,0,0,1,0,142.536738861179,3,0
2130,0,0,0,0,0,0,0,0,0,0,0,0,0,142.603688949888,3,0
2131,0,0,0,0,0,0,0,0,0,0,0,0,0,142.670639038597,3,0
2132,0,0,0,0,0,0,0,0,0,0,0,0,0,142.737589127306,3,0
2133,0,0,0,0,0,0,1,0,0,0,0,0,0,142.804539216014,3,0
2134,0,0,0,0,0,0,0,0,0,0,0,0,0,142.871489304723,3,0
2135,0,0,0,0,0,0,1,0,0,0,0,0,0,142.938439393432,3,0
2136,0,0,0,0,0,0,0,0,0,0,0,0,0,143.005389482141,3,0
2137,0,0,0,0,0,0,0,0,0,0,0,0,0,143.07233957085,3,0
2138,0,0,0,0,0,0,0,0,0,0,0,0,0,143.139289659559,3,0
2139,0,0,0,0,0,0,0,0,0,0,0,0,0,143.206239748268,3,0
2140,0,0,0,0,0,0,0,0,0,0,0,0,0,143.273189836977,3,0
2141,0,0,0,1,0,0,0,0,1,0,0,0,1,143.340139925685,3,0
2142,0,0,0,0,0,0,1,0,0,0,0,0,0,143.407090014394,3,0
2143,0,0,0,0,0,0,1,0,0,0,0,0,0,143.474040103103,3,0
2144,0,0,1,0,0,0,1,0,0,0,0,0,0,143.540990191812,3,0
2693,0,0,0,0,0,0,0,0,0,0,0,0,0,180.29658889298,4,1
2694,0,0,0,0,0,0,0,0,0,0,0,0,0,180.363538981689,4,1
2695,0,0,0,0,0,0,0,0,0,0,0,0,0,180.430489070398,4,1
2696,0,0,0,0,0,0,0,0,0,0,0,0,0,180.497439159107,4,1
2697,0,0,0,0,0,0,0,0,0,0,0,0,0,180.564389247816,4,1
2698,0,0,0,0,0,0,0,0,0,0,0,0,0,180.631339336525,4,1
2699,0,0,0,0,0,0,0,0,0,0,0,0,0,180.698289425233,4,1
2700,0,0,0,0,0,0,1,0,0,0,0,0,0,180.765239513942,4,1
2701,0,0,0,0,0,0,0,0,0,0,0,0,0,180.832189602651,4,1
2702,0,0,0,0,0,0,0,0,0,0,0,0,0,180.89913969136,4,1
2703,0,0,0,0,0,0,1,0,0,0,0,0,0,180.966089780069,4,1
2704,0,0,0,0,0,0,1,0,0,0,0,0,0,181.033039868778,4,1
2705,0,0,0,0,0,0,1,0,0,0,0,0,0,181.099989957487,4,1
2706,0,0,0,0,0,0,0,0,0,0,0,0,0,181.166940046196,4,1
2707,0,0,0,0,0,0,0,0,0,0,0,0,0,181.233890134904,4,1
2708,1,0,0,0,0,0,0,0,0,1,0,1,0,181.300840223613,4,1
2709,0,0,0,0,0,0,0,0,0,0,0,0,0,181.367790312322,4,1
2710,0,0,0,0,0,0,1,0,0,0,0,0,0,181.434740401031,4,1
2711,0,0,0,0,0,0,1,0,0,0,0,0,0,181.50169048974,4,1
2712,0,0,0,0,0,0,0,0,0,0,0,0,0,181.568640578449,4,1
2713,0,0,0,0,0,0,1,0,0,0,0,0,0,181.635590667158,4,1
2714,0,0,0,0,0,0,0,0,0,0,0,0,0,181.702540755866,4,1
2715,0,0,0,0,0,0,1,0,0,0,0,0,0,181.769490844575,4,1
2716,0,0,0,0,0,0,1,0,0,0,0,0,0,181.836440933284,4,1
2717,1,0,0,0,0,0,0,0,0,0,1,0,1,181.903391021993,4,1
2718,0,0,0,0,0,0,0,0,0,0,0,0,0,181.970341110702,4,1
2719,0,0,0,0,0,0,0,0,0,0,0,0,0,182.037291199411,4,1
2720,0,0,0,0,0,0,0,0,0,0,0,0,0,182.10424128812,4,1
2721,0,0,0,0,0,0,0,0,0,0,0,0,0,182.171191376829,4,1
2722,1,0,0,0,0,0,0,0,0,0,1,0,1,182.238141465537,4,1
2723,0,0,0,0,1,0,0,0,0,0,0,0,0,182.305091554246,4,1
3249,0,0,0,0,0,0,0,0,0,0,0,0,0,217.520838215111,5,0
3250,0,0,0,0,0,0,0,0,0,0,0,0,0,217.58778830382,5,0
3251,0,0,0,0,0,0,0,0,0,0,0,0,0,217.654738392528,5,0
3252,0,0,0,0,0,0,0,0,0,0,0,0,0,217.721688481237,5,0
3253,0,0,0,0,0,0,1,0,0,0,0,0,0,217.788638569946,5,0
3254,0,0,0,0,0,0,1,0,0,0,0,0,0,217.855588658655,5,0
3255,0,0,0,0,0,0,0,0,0,0,0,0,0,217.922538747364,5,0
3256,0,0,0,0,0,0,1,0,0,0,0,0,0,217.989488836073,5,0
3257,0,0,0,0,0,0,1,0,0,0,0,0,0,218.056438924782,5,0
3258,0,0,0,0,0,0,0,0,0,0,0,0,0,218.12338901349,5,0
3259,0,0,0,0,0,0,0,0,0,0,0,0,0,218.190339102199,5,0
3260,0,0,0,0,0,0,0,0,0,0,0,0,0,218.257289190908,5,0
3261,0,0,0,0,0,0,0,0,0,0,0,0,0,218.324239279617,5,0
3262,0,0,0,0,0,0,0,0,0,0,0,0,0,218.391189368326,5,0
3263,0,0,0,0,0,0,0,0,0,0,0,0,0,218.458139457035,5,0
3264,0,0,0,1,0,0,0,1,0,0,0,1,0,218.525089545744,5,0
3265,0,0,0,0,0,0,0,0,0,0,0,0,0,218.592039634453,5,0
3266,0,0,0,0,0,0,0,0,0,0,0,0,0,218.658989723161,5,0
3267,0,0,0,0,0,0,0,0,0,0,0,0,0,218.72593981187,5,0
3268,0,0,0,0,0,0,0,0,0,0,0,0,0,218.792889900579,5,0
3269,0,0,0,0,0,0,0,0,0,0,0,0,0,218.859839989288,5,0
3270,0,0,0,0,0,0,0,0,0,0,0,0,0,218.926790077997,5,0
3271,0,0,0,0,0,0,0,0,0,0,0,0,0,218.993740166706,5,0
3272,0,0,0,0,0,0,0,0,0,0,0,0,0,219.060690255415,5,0
3273,0,0,0,0,0,0,0,0,0,0,0,0,0,219.127640344123,5,0
3274,0,0,0,0,0,0,1,0,0,0,0,0,0,219.194590432832,5,0
3275,0,0,0,0,0,0,1,0,0,0,0,0,0,219.261540521541,5,0
3276,0,0,0,0,0,0,0,0,0,0,0,0,0,219.32849061025,5,0
3277,0,0,0,0,0,0,0,0,0,0,0,0,0,219.395440698959,5,0
3278,0,0,0,0,0,0,0,0,0,0,0,0,0,219.462390787668,5,0
3279,0,0,1,0,0,0,0,0,0,0,0,0,0,219.529340876377,5,0
3775,0,0,0,0,0,0,0,0,0,0,0,0,0,252.736584875975,6,1
3776,0,0,0,0,0,0,0,0,0,0,0,0,0,252.803534964684,6,1
3777,0,0,0,0,0,0,0,0,0,0,0,0,0,252.870485053393,6,1
3778,0,0,0,0,0,0,0,0,0,0,0,0,0,252.937435142102,6,1
3779,0,0,0,0,0,0,0,0,0,0,0,0,0,253.00438523081,6,1
3780,0,0,0,0,0,0,0,0,0,0,0,0,0,253.071335319519,6,1
3781,0,0,0,0,0,0,0,0,0,0,0,0,0,253.138285408228,6,1
3782,0,0,0,0,0,0,0,0,0,0,0,0,0,253.205235496937,6,1
3783,0,0,0,0,0,0,0,0,0,0,0,0,0,253.272185585646,6,1
3784,0,0,0,0,0,0,0,0,0,0,0,0,0,253.339135674355,6,1
3785,0,0,0,0,0,0,0,0,0,0,0,0,0,253.406085763064,6,1
3786,0,0,0,0,0,0,0,0,0,0,0,0,0,253.473035851772,6,1
3787,0,0,0,0,0,0,0,0,0,0,0,0,0,253.539985940481,6,1
3788,0,0,0,0,0,0,0,0,0,0,0,0,0,253.60693602919,6,1
3789,0,0,0,0,0,0,1,0,0,0,0,0,0,253.673886117899,6,1
3790,1,0,0,0,0,0,1,0,0,1,0,1,0,253.740836206608,6,1
3791,0,0,0,0,0,0,1,0,0,0,0,0,0,253.807786295317,6,1
